Amenity Type,Name,Latitude,Longitude
restaurant,Baba Dhaba And Restaurant,25.3557289,81.8345556
restaurant,Muktanand Restaurant,25.4520214,81.8325737
restaurant,Pind Balluchi,25.4523915,81.8329197
restaurant,Basu's Kitchen,25.4556441,81.8356801
restaurant,Aryan,25.4546540,81.8348355
college,GDBinani PG College Mirzapur,25.1347712,82.5837674
college,Unknown,25.3173705,81.9189157
college,ECC,25.4278749,81.8455740
college,Jamuna christian Inter College,25.4269006,81.8424545
college,Banaras Hindu University (BHU) Rajiv Gandhi South Campus,25.0474623,82.5955628
college,St Anthony Inter College,25.9220681,81.9871872
college,KP Hindu Inter College,25.9245794,81.9958664
college,DAV Inter College,25.9153964,81.9857777
college,IshawarDeen chhedilal Inter College,25.2824656,81.7837182
college,Dev Indravati PG Collage,26.3838773,82.5193776
college,Satyawati Degree College,26.4225938,82.4032429
college,Dr.A.P.J. Abdul Kalam Polytechnic College,25.4021586,81.8661369
college,MNNIT FIELD,25.4934602,81.8659358
college,AU CRICKET GROUND,25.4606770,81.8507455
college,AU HOCKEY FIELD,25.4591200,81.8516844
college,AU FOOTBALL GROUND,25.4592390,81.8508497
college,KPUC GATE,25.4638240,81.8603780
college,Radiant College,26.3111095,82.7322860
college,GGIC Rajapur (Government Girls Inter College),25.3837236,81.1476114
college,United Institute of Medical Sciences,25.3975720,81.7573210
driving_school,Unknown,24.9279390,82.5064123
driving_school,Unknown,24.9596671,82.3766845
kindergarten,MAP,26.2288262,81.2482871
kindergarten,SP Memorial Primary School,25.4638800,81.8637470
kindergarten,Kidzee school,26.2211758,81.2320231
kindergarten,bachpan school,26.2211417,81.2414444
language_school,prayas coaching,25.8549409,81.4317031
library,Unknown,26.2649555,81.5065059
library,Prakhar Library,25.4634204,81.8694258
library,Vinayak Digital Library,25.4624131,81.8660854
library,Vivekananda Library,26.3143395,82.7422626
library,Study IQ,26.3069148,82.7371449
library,Focus,26.3145414,82.7328641
library,Vinaayak Mehta Library,26.2642691,82.0750796
library,GIC LIBRARY,26.2635463,82.0717077
research_institute,J C BOSE RESEARCH INSTITUTE,25.4575978,81.8572520
training,Krishna Coaching Institute,25.4653342,81.8617836
school,Poorva Madhyamik Vidyalaya,26.0117004,82.6200762
school,Jamia Arifia,25.4891099,81.6273379
school,Unknown,26.2653731,82.6694323
school,VIDDESWAR ACADMY,26.2653894,82.6694487
school,mahila sewa sadan inter college,25.4392297,81.8598465
school,G C STUDY POINT,25.4427989,81.8606813
school,Unknown,25.4346694,81.8460023
school,Unknown,25.2897396,81.9333557
school,Primary School,25.3988181,81.8624972
school,Jagat Taran Golden Jubilee School,25.4539878,81.8589719
school,Sarswan Middle School,26.2547775,82.4913004
school,Sarswan Primary School,26.2506935,82.4888657
school,Ram Baran Singh Mahila Maha Vidyalaya,26.2652428,82.4900412
school,Swarg. Raj Singh Inter Collage (Janta Inter Collage),26.2100234,82.2161681
school,primary School,26.3680777,82.5120575
school,St. Thomas School Gyanpur,25.3416207,82.4801506
school,Saraswati Shishu Mandir,25.4232958,81.8231352
school,MQ Islamic School,25.4241104,81.8052668
school,ML CONVENT SCHOOL,25.4556312,81.8777388
school,mpvm,25.4497955,81.8600114
school,j.c bose institue,25.4576206,81.8569272
school,St. Mary's Convent Inter College,25.4575978,81.8455433
school,Unknown,25.4021125,81.8612991
school,Majidia Islamia Inter College,25.4295784,81.8263182
school,Atheletics ground,25.3768568,81.8526759
