Amenity Type,Name,Latitude,Longitude,road,suburb,state_district,road_count,suburb_count,district_count
hospital,Rajni Hospital,28.0217884,73.296467,SH3,,Bikaner,12,0,150
hospital,N.W. Railway Divisional Hospital,28.0320412,73.3063543,Junagarh Fort Road,,Bikaner,9,0,150
hospital,Marwar Hospital,28.0146421,73.3222724,NH89,,Bikaner,49,0,150
hospital,Arya Hospital,27.9873413,73.3348765,Sudarshana Nagar Inner Road,,Bikaner,2,0,150
hospital,Marudhar Hospital,27.1908388,73.7382772,SH19;90,,Nagaur,10,0,44
hospital,ASG Eye Hospital,27.2045966,73.7230042,SH19,,Nagaur,21,0,44
hospital,Divya Sai Hospital,27.197853,73.752743,SH19;90,,Nagaur,10,0,44
hospital,Bhutra Health Care Centre,27.2031381,73.7257817,SH19,,Nagaur,21,0,44
hospital,Dental Hospital,27.1994657,73.7459993,SH19;90,,Nagaur,10,0,44
hospital,T.B. Hospital,27.2032575,73.7236905,SH19,,Nagaur,21,0,44
hospital,Sri Hariram Dental Care and General Hospital,27.2041708,73.7226325,SH19,,Nagaur,21,0,44
hospital,Shree Ram Hospital,27.194935,73.740991,SH19;90,,Nagaur,10,0,44
hospital,Sufiya Hospital,27.171531,73.6432798,MDR37A,,Nagaur,4,0,44
hospital,Marwar Child Care Centre,27.2016066,73.7243458,SH19,,Nagaur,21,0,44
hospital,Mahadev Hospital,27.203545,73.725742,SH19,,Nagaur,21,0,44
hospital,Kala Nursing Home,27.2014163,73.7241418,SH19,,Nagaur,21,0,44
hospital,Life Line Hospital,27.206103,73.7216771,SH19,,Nagaur,21,0,44
hospital,Bisu Hospital,27.2055327,73.7218484,SH19,,Nagaur,21,0,44
hospital,Harshit Hospital,27.19026,73.7327412,MDR37A,,Nagaur,4,0,44
hospital,Drishti Eye Hospital,27.2041846,73.7230964,SH19,,Nagaur,21,0,44
hospital,Army Hospital,27.2021151,73.7169946,SH19,,Nagaur,21,0,44
hospital,Shri Hari Ram Hospital & Research Centre,27.2063803,73.7215259,SH19,,Nagaur,21,0,44
hospital,Dr. J K Charan Hospital,27.1984593,73.7508306,SH19;90,,Nagaur,10,0,44
hospital,Dr. Saroj Paliwal Hospital and Infertility Centre,27.1214537,72.3812504,SH28,,Jodhpur(Rural),8,0,12
