Amenity Type,Name,Latitude,Longitude,road,suburb,state_district,road_count,suburb_count,district_count,scaled_suburb,population
cafe,Starbucks,28.5341212,77.2428302,Road Number 5,Alaknanda,South East Delhi,11,20,189,2.7027027027027026,11191
cafe,Costa,28.5335834,77.2433039,Road Number 5,Alaknanda,South East Delhi,11,20,189,2.7027027027027026,11191
cafe,Cafe Coffee Day,28.5400024,77.2343195,Ho Chi Minh Marg,,South East Delhi,3,0,189,0.0,3189
cafe,Cafe Coffee Day,28.5332416,77.2438243,Road Number 5,Alaknanda,South East Delhi,11,20,189,2.7027027027027026,11191
cafe,Stri Shakti Canteen,28.6626659,77.2339069,Lothiyan Road,Old Delhi,Central Delhi,1,26,99,3.5135135135135136,1102
cafe,"Shiru Cafe, IIT Delhi",28.5447888,77.1911891,SIT Road,Hauz Khas,South Delhi,2,51,231,6.891891891891892,2237
cafe,Hunger House,28.6406068,77.1048726,Shivaji Marg,,West Delhi,13,0,67,0.0,13067
cafe,Cafe Coffee Day,28.1255589,76.6374349,Amer Road,,Rewari,12,0,8,0.0,12008
cafe,Amour Bistro,28.6016349,77.1859966,Malcha Marg,Chanakya Puri Tehsil,,1,56,0,7.567567567567568,1007
cafe,Sadick,29.1493074,77.6039499,MDR101W,Chacha,Meerut,3,3,31,0.40540540540540543,3031
cafe,Roots,28.4694883,77.0683104,Leisure Valley Road,IFFCO Chowk,,17,27,0,3.6486486486486487,17003
cafe,Miranda's Nescafe,28.693373,77.2107525,GC Narang Road,Civil Lines Tehsil,Central Delhi,2,20,99,2.7027027027027026,2101
cafe,"subway, lavazza",28.5006053,77.1857471,100 Feet Road,Chattarpur,South Delhi,5,4,231,0.5405405405405406,5231
cafe,Cafe Coffee Day,28.5116773,77.0419219,rezang la marg,Sector 1,,6,9,0,1.2162162162162162,6001
cafe,The Brown Box,28.5412792,77.2156818,HU Bijlani Marg,Malviya Nagar,South Delhi,1,26,231,3.5135135135135136,1234
cafe,Starbucks,28.6302915,77.2204826,Outer Circle,Connaught Place,,28,74,0,10.0,28010
cafe,Festa Cafe ,28.6409134,77.2104527,Rajguru Marg,Karol Bagh Tehsil,Central Delhi,1,12,99,1.6216216216216217,1100
cafe,Shakti Bakers,28.9612013,77.7316056,Nai Sadak,,Meerut,5,0,31,0.0,5031
cafe,Costa,28.5565239,77.202219,Lawyer's Street,Green Park,South Delhi,4,7,231,0.945945945945946,4231
cafe,kitchen cafe roof top,28.6409875,77.2128901,Main Bazaar,Paharganj,Central Delhi,2,16,99,2.1621621621621623,2101
cafe,Café office office,28.6269741,77.2202933,Tolstoy Marg,Connaught Place,,4,74,0,10.0,4010
cafe,Keventers,28.6289565,77.0767263,Shivaji Marg,Vikaspuri,West Delhi,13,3,67,0.40540540540540543,13067
cafe,PAR Tech. Cyber Cafe,28.6811819,77.2610507,Pusta Road Number 1,Seelampur,North East Delhi,1,2,2,0.2702702702702703,1002
cafe,Barista,28.5463739,77.1970369,Outer Ring Road,Hauz Khas,South Delhi,10,51,231,6.891891891891892,10237
cafe,Smoothie factory,28.5464523,77.1965666,Narendra Kumar Pandey Marg,Safdarjung Development Area,South Delhi,3,3,231,0.40540540540540543,3231
cafe,Cafe Coffee Day,28.5405268,77.2118362,Basant Kaur Marg,,South Delhi,12,0,231,0.0,12231
cafe,Shake square,28.7009228,77.1359545,Road No 44,Pitampura,North West Delhi,1,6,27,0.8108108108108109,1027
cafe,Out Of The Box (OTB),28.5997702,77.2261911,Khan Market,Chanakya Puri Tehsil,,7,56,0,7.567567567567568,7007
cafe,caféccino,28.5545719,77.0858145,Mahipalpur Bypass,,,1,0,0,0.0,1000
cafe,Costa,28.5561016,77.0844719,Indira Gandhi International Airport Arrival Road,,,4,0,0,0.0,4000
cafe,Rose Cafe,28.5177312,77.1981227,Westend Marg,,South Delhi,6,0,231,0.0,6231
cafe,Devan's at Lodhi,28.5798966,77.2220134,Najaf Khan Road,Lodhi Colony,South East Delhi,1,10,189,1.3513513513513513,1190
cafe,Everest Bakery Cafe,28.6417215,77.2147806,Gali Chandi Wali,Paharganj,Central Delhi,2,16,99,2.1621621621621623,2101
cafe,Blue Tokai Coffee Roasters,28.5172818,77.2000632,Lane Number 3,Saket,South Delhi,6,25,231,3.3783783783783785,6234
cafe,HCL cafeteria,28.5362862,77.3432062,Greater Noida Expressway,,Gautam Buddha Nagar,1,0,70,0.0,1070
cafe,Chaayos,28.6314625,77.2206262,Rajiv Chowk,Connaught Place,,6,74,0,10.0,6010
cafe,Big Fat Sandwich,28.5529784,77.2077666,Aurobindo Marg,Hauz Khas,South Delhi,17,51,231,6.891891891891892,17237
cafe,Brownie Cafe,28.645479,77.2163699,Arakashan Road,Basti Ara Kashan,Central Delhi,2,2,99,0.2702702702702703,2099
cafe,Cafeteria,28.9257035,77.0552434,MDR138,,Sonipat,3,0,19,0.0,3019
cafe,Cafeteria,28.9254405,77.0552434,MDR138,,Sonipat,3,0,19,0.0,3019
cafe,Toffe bar,28.5526526,77.2556362,Nehru Place Road,Nehru Place,South East Delhi,10,13,189,1.7567567567567568,10190
cafe,How You Brewing?,28.559779,77.2433169,Kalka Devi Marg,Lajpat Nagar,South East Delhi,7,35,189,4.72972972972973,7193
cafe,Cafe Coffee Day,28.5596993,77.2429986,Kalka Devi Marg,Lajpat Nagar,South East Delhi,7,35,189,4.72972972972973,7193
cafe,Cafe City Lights,28.5595408,77.2423721,Kalka Devi Marg,Lajpat Nagar,South East Delhi,7,35,189,4.72972972972973,7193
cafe,Concrete Cafe & Lounge,28.5596341,77.2427757,Kalka Devi Marg,Lajpat Nagar,South East Delhi,7,35,189,4.72972972972973,7193
cafe,Cafe Coffe Day,28.5576249,77.2453629,Raja Dheer Sen Marg,East of Kailash,South East Delhi,1,1,189,0.13513513513513514,1189
cafe,Modern Bazaar,28.5960692,77.0411256,Road 205,,South West Delhi,8,0,49,0.0,8049
cafe,angels in my kitchen,28.5329797,77.2434993,Road Number 5,Alaknanda,South East Delhi,11,20,189,2.7027027027027026,11191
cafe,Kunzum,28.553552,77.1943526,Hauz Khas Village Road,Hauz Khas,South Delhi,17,51,231,6.891891891891892,17237
cafe,Playing Cup Cafe,28.6068044,77.2908063,Anand Lok DDA Park Walkway,Mayur Vihar,East Delhi,3,10,61,1.3513513513513513,3062
cafe,Cafe Coffee Day,28.5638612,77.2341609,Gurumukh Nihal Singh Marg,Lajpat Nagar,South East Delhi,2,35,189,4.72972972972973,2193
cafe,Satgurus tea stall,28.6504719,77.2303091,Chawri Bazar,Old Delhi,Central Delhi,1,26,99,3.5135135135135136,1102
cafe,Café Coffee Day,28.606975,77.2905691,Anand Lok DDA Park Walkway,Mayur Vihar,East Delhi,3,10,61,1.3513513513513513,3062
cafe,Honey n dough,28.5464901,77.1970726,Outer Ring Road,Hauz Khas,South Delhi,10,51,231,6.891891891891892,10237
cafe,Crackpot Cafe,28.5557616,77.2418147,Lala Lajpat Rai Marg,Greater Kailash,South East Delhi,6,6,189,0.8108108108108109,6189
cafe,SOS Cafe,28.5559586,77.175334,Palam Marg,,,3,0,0,0.0,3000
cafe,Onkar Cafe,28.7390615,77.1353427,Road Number B-7,Rohini,North Delhi,2,31,47,4.1891891891891895,2051
cafe,AMA Cafe,28.7026406,77.2284294,Doctor KB Hedgewar Marg,Majnu Ka Tila,Central Delhi,9,8,99,1.0810810810810811,9100
cafe,Soho,28.5174202,77.1979526,Westend Marg,,South Delhi,6,0,231,0.0,6231
cafe,Cafe Coffee Day,28.5849603,77.2266279,Fifth Avenue Road,Lodhi Colony,South East Delhi,3,10,189,1.3513513513513513,3190
cafe,the gol chakar,28.542141,77.252922,Hansraj Sethi Marg,Kalkaji,South East Delhi,17,18,189,2.4324324324324325,17191
cafe,Cafe Coffee Day,28.572364,77.3887355,Aditya Celebrity Inner Road,,Gautam Buddha Nagar,2,0,70,0.0,2070
cafe,Cafe Turtle,28.5563407,77.2330048,Hansraj Gupta Marg,,South East Delhi,2,0,189,0.0,2189
cafe,Happy cafe,28.668658,77.329741,Raman marg,Surya Nagar,Ghaziabad,4,8,46,1.0810810810810811,4047
cafe,Nitu Juice Center,28.669607,77.331338,Raman marg,Surya Nagar,Ghaziabad,4,8,46,1.0810810810810811,4047
cafe,Keventer's Milkshake,28.6334848,77.2181289,Radial Road 3,Connaught Place,,9,74,0,10.0,9010
cafe,Cafe Einstein,28.5479351,77.2507706,Nehru People Market Road,Nehru Place,South East Delhi,2,13,189,1.7567567567567568,2190
cafe,Cafe Coffee Day,28.5376565,77.2133209,Guru Gobind Singh Marg,Malviya Nagar,South Delhi,9,26,231,3.5135135135135136,9234
cafe,Cafe Coffee Day,28.5383536,77.1983139,Aurobindo Marg,Adchini,South Delhi,17,1,231,0.13513513513513514,17231
cafe,JugMug Thela,28.5173118,77.1999817,Champa Gali,,South Delhi,1,0,231,0.0,1231
cafe,Café Hameen Asto,28.5177997,77.1985596,Westend Marg,,South Delhi,6,0,231,0.0,6231
cafe,Pho King Awesome,28.5173258,77.200236,Lane Number 3,,South Delhi,6,0,231,0.0,6231
cafe,Cafe Lota,28.6131498,77.2426321,Bhairon Marg,Chanakya Puri Tehsil,,1,56,0,7.567567567567568,1007
cafe,Happy Dough,28.5110406,77.2025519,IGNOU Road,Neb Sarai,South Delhi,24,25,231,3.3783783783783785,24234
cafe,Cafe Coffee Day,28.5331643,77.2062525,Basant Kaur Marg,,South Delhi,12,0,231,0.0,12231
cafe,The Walled City,28.6491519,77.232748,Urdu Bazaar Road,Old Delhi,Central Delhi,2,26,99,3.5135135135135136,2102
cafe,Chaayos,28.6315876,77.2222789,Radial Road 7,Connaught Place,,2,74,0,10.0,2010
cafe,Hwealth Cafe,28.5744593,77.2291993,Bhishma Pitamah Marg,South Extension,South East Delhi,2,10,189,1.3513513513513513,2190
cafe,The chai kafe,28.6343655,77.2179596,Radial Road 3,Connaught Place,,9,74,0,10.0,9010
cafe,Cafe Coffee Day,28.64467,77.2402214,Netaji Subhash Marg,Old Delhi,Central Delhi,3,26,99,3.5135135135135136,3102
cafe,Annapurna Cafe,28.6304901,77.3712595,Portico,Sector 62,Gautam Buddha Nagar,3,4,70,0.5405405405405406,3070
cafe,Café Coffee Day,29.0482171,77.0665242,Grand Trunk Road,,Sonipat,21,0,19,0.0,21019
cafe,Turquoise Cottage,28.5557387,77.2059,Aurobindo Marg,Hauz Khas,South Delhi,17,51,231,6.891891891891892,17237
cafe,Cafe Coffee Day,28.6339716,77.2180188,Radial Road 3,Connaught Place,,9,74,0,10.0,9010
cafe,Ssongchee - Korea Bings Cafe,28.5174361,77.1984494,Westend Marg,,South Delhi,6,0,231,0.0,6231
