Latitude,Longitude
25.2968027,83.0070471
25.2883186,83.0042819
25.2872587,83.005015
25.4513777,81.8738372
25.2787574,83.0025286
25.4244733,81.9549917
25.3081958,83.0111787
25.3133005,83.0046481
25.2881951,83.0052254
25.3090691,83.0023133
25.293813,83.0000413
25.3087471,83.0115043
25.4247331,81.9560108
25.3390821,82.979916
25.2813819,83.0032224
25.2623493,82.981643
25.3099294,82.9887763
25.3089162,82.9909262
25.3089194,82.9909466
25.3010722,82.9558356
25.3006423,82.9692811
25.284004,82.9693379
25.3070834,82.9919506
25.3119674,82.9867677
25.3055163,82.9810198
25.2777473,82.9672239
25.2866939,83.0017022
25.2789746,82.9987794
25.2802842,83.0026685
25.3182588,82.9916193
25.3211342,82.9911781
25.2877642,82.9692105
25.3058219,82.9859362
25.3113365,82.9892046
25.2903842,83.0018114
25.2932557,83.0024791
25.305214,82.9792966
25.3161738,82.9678179
25.4555483,81.8746979
25.4561013,81.8710948
25.4571289,81.8736109
25.4512381,81.8726547
25.2893311,82.9694725
25.4568659,81.8651072
25.448168,81.8612474
25.4498963,81.8626464
25.4587024,81.8568297
25.458673,81.8587279
25.4565644,81.8598892
25.2691284,82.9826179
25.26154,82.9814667
25.2947217,83.0001728
25.2950226,83.0005599
25.2949796,83.0006753
25.2965454,82.9991854
25.0182224,82.3601259
25.4033317,81.8682416
25.4029389,81.8691933
25.4071555,81.8674795
25.4012194,81.8689299
25.3907765,81.8627541
25.4505795,81.8304807
25.450402,81.8315022
25.4026598,81.8686437
25.4110742,81.8429396
25.3990652,81.8632979
25.3997775,81.8670336
25.451436,81.8324604
25.4559442,81.8355087
25.3053215,82.9925403
25.3048518,83.0077197
25.3056593,83.0086228
25.4571074,81.8352164
25.455148,81.8374386
25.4519558,81.8349982
25.4520503,81.8352836
25.4065503,81.8679293
25.4025606,81.8695416
25.4023521,81.8695444
25.4029997,81.8692041
25.2595214,82.9815196
25.2634152,82.9817206
26.2753215,82.4711415
26.2752273,82.4714497
26.2714313,82.4679498
25.2638528,82.9815187
25.2635938,82.9816088
25.2635759,82.9816356
25.2649386,82.9817699
25.3546362,82.9656729
25.3547741,82.9660329
25.354618,82.966059
25.3546448,82.9655978
25.3545406,82.9660654
25.2636939,82.9815272
25.4642037,81.8697354
25.4633995,81.8649332
25.4623529,81.8663355
25.2635514,82.98166
26.2713297,82.4674623
25.4463673,81.8521893
25.27994,82.9922718
25.2796698,83.0030165
25.2732741,83.0013881
25.2894898,83.0013967
25.2894782,83.0013667
25.2970064,83.0023604
25.2881654,83.001401
25.28839,83.0017394
25.2911695,83.0013304
26.3131277,82.7334572
26.3126076,82.7416851
26.3091471,82.7429973
26.3117197,82.7337101
26.309185,82.7426841
26.3132223,82.7350224
26.3128732,82.7391876
25.2602834,82.9815127
26.3146034,82.7347176
26.3150284,82.7426925
26.3141557,82.7391961
26.3134044,82.7376214
26.310164,82.7368172
26.3078873,82.7368764
26.3088435,82.7380955
26.308206,82.7408724
25.3115714,82.9877375
25.3357406,82.9776527
25.3356607,82.97747
25.2629243,82.99085
25.2606975,82.9914443
26.2654591,82.0733727
26.2641184,82.0744097
26.2632883,82.0713928
26.2609116,82.0731751
26.2640745,82.0740397
26.2754207,82.0775066
25.451402,81.8348756
25.2666213,82.4916082
25.4492806,81.8396079
25.3921262,81.8637123
25.4555439,81.8341134
25.4552933,81.8350288
25.4310062,81.8035913
25.2998813,83.0022412
25.3033865,83.0082679
25.3557289,81.8345556
25.4520214,81.8325737
25.4523915,81.8329197
25.4556441,81.8356801
25.454654,81.8348355
26.3070818,83.0795827
25.1347712,82.5837674
25.3783973,83.0284798
25.4278749,81.845574
25.4269006,81.8424545
25.0474623,82.5955628
25.9220681,81.9871872
25.9245794,81.9958664
25.9153964,81.9857777
25.2824656,81.7837182
25.3303886,82.9978847
26.4618757,82.4899247
26.4413875,82.4677355
26.3838773,82.5193776
25.3198258,83.0123819
25.3167154,82.9760693
25.3450274,82.9938601
26.4225938,82.4032429
26.4590776,82.4927909
25.4021586,81.8661369
25.2036864,83.0722071
25.2623596,82.985774
25.3746276,82.915698
25.4934602,81.8659358
25.460677,81.8507455
25.45912,81.8516844
25.459239,81.8508497
25.463824,81.860378
25.2782809,83.00408
26.3111095,82.732286
25.397572,81.757321
25.46388,81.863747
25.2872422,83.0042721
25.2689057,82.9930785
25.4634204,81.8694258
25.4624131,81.8660854
26.3143395,82.7422626
26.3069148,82.7371449
26.3145414,82.7328641
26.2642691,82.0750796
26.2635463,82.0717077
25.4575978,81.857252
25.4653342,81.8617836
25.4297882,83.6153342
25.4287613,83.6200754
26.5586229,82.6545141
26.0117004,82.6200762
26.5529657,82.656186
26.2653894,82.6694487
25.2903508,83.0047674
25.4392297,81.8598465
25.4427989,81.8606813
26.6031814,82.5497856
25.3988181,81.8624972
25.4539878,81.8589719
25.3361135,82.9764097
26.2547775,82.4913004
26.2506935,82.4888657
26.2652428,82.4900412
26.2100234,82.2161681
26.3680777,82.5120575
25.3416207,82.4801506
26.4437242,82.4600858
25.2674852,82.965968
25.3429537,82.9966609
25.3426135,82.9977301
25.3451685,82.9939255
25.4232958,81.8231352
25.4241104,81.8052668
25.4556312,81.8777388
25.2883613,82.9697871
25.4497955,81.8600114
25.4576206,81.8569272
25.4575978,81.8455433
25.3043355,82.9788384
25.4295784,81.8263182
25.3768568,81.8526759
25.3777098,81.8532124
25.3772445,81.852971
25.3773996,81.8527081
25.3759407,81.8515279
25.3794086,81.8446829
25.3779388,81.8441505
25.3787482,81.8446038
26.5418937,82.409823
25.3699506,82.9171311
25.3704954,82.9183193
25.3624052,82.9325662
25.3625245,82.9373073
25.3535677,82.9659655
25.3625149,82.9369225
25.3622599,82.9373831
25.3541058,82.9667212
25.3547101,82.9669677
26.2732341,82.4698801
25.4625916,81.8405524
25.4620292,81.8614059
25.4652799,81.8617506
25.2731346,83.001598
25.4485955,81.8449649
25.4477174,81.8444478
26.3088283,82.7333133
26.3087999,82.7339906
25.2585849,82.9896612
25.7712723,82.3290009
25.3613416,81.8387521
26.7285652,83.4342065
26.7297498,83.4350798
25.3957121,81.7583556
25.2621544,82.9925896
25.4649427,81.8603052
25.4624693,81.8592971
25.4653472,81.8606365
25.2586098,82.9902383
25.2583127,82.990765
25.3746904,82.9163029
25.3747417,82.916235
25.3063243,83.0103739
25.2718076,83.0229253
25.9283187,83.5711021
25.9348177,83.5669181
25.9633105,83.5803692
25.5417224,83.2665963
25.5449342,83.3304886
25.5459651,83.3768475
25.567077,83.4707863
25.5786498,83.5035431
25.5783509,83.5573436
25.6283152,83.5661881
25.6796435,83.5485398
25.7293344,83.5458034
25.7706176,83.5536783
25.8325808,83.5579199
25.8909632,83.560484
25.8987875,83.5611688
25.4637202,83.1183409
25.5408428,83.1870583
25.5403315,83.211525
25.540783,83.2205785
25.4478976,83.0312858
25.9438383,83.5689208
25.1737096,83.0991292
25.3050048,82.9811121
25.2977678,83.0020662
25.3117109,82.9885717
25.3111057,82.9888223
25.3183391,82.9881765
25.4388788,81.8582634
26.3778686,82.8631138
25.1334272,83.665899
25.4982624,81.8628931
25.4183563,82.0160124
26.3658473,82.5107809
25.2848795,83.0023419
25.2774869,83.005451
25.2941304,83.0000956
25.3454544,82.9941786
25.1509743,82.3388427
26.6009244,81.9195413
25.3010041,82.9542855
25.2833874,82.9754984
25.7867525,82.2316079
25.2484958,82.9623644
25.267544,82.9946423
25.3776359,81.8447178
25.2672101,82.9660906
25.3683821,82.9279175
25.3510857,82.2285834
25.3405993,82.2541342
25.2802163,82.9874745
25.2835546,82.9721273
